"School Name","DBN","Budget","Total Enrollment","Budget Per Student","School Type","School Category","Street Address","City","State","Zip Code","Borough","Latitude","Longitude","Coordinates","Report Type","Report Grade","Number of Students in Cohort","Percent of Graduation Students in Cohort","Percent of Cohort Who Took Regents","Percent of Graduates Who Took Regents","Percent of Cohort Who Took Advanced Regents","Percent of Graduates Who Took Advanced Regents","Percent of Cohort Who Took Regents Without Advanced","Percent of Graduates Who Took Regents Without Advanced","Percent of Cohort Who Are Still Enrolled","Percent of Cohort Who Dropped Out","ELA Mean Scale Score","Percent of Students Scoring Level 1 in ELA","Percent of Students Scoring Level 2 in ELA","Percent of Students Scoring Level 3 in ELA","Percent of Students Scoring Level 4 in ELA","Math Mean Scale Score","Percent of Students Scoring Level 1 in Math","Percent of Students Scoring Level 2 in Math","Percent of Students Scoring Level 3 in Math","Percent of Students Scoring Level 4 in Math"
"Lower Manhattan Community Middle School","M896","1940769","211","9197.9573","General Academic","Intermediate","26 BROADWAY","MANHATTAN","NY","10004","M","40.70543860000000","-74.01327189999999","[-74.01327189999999,40.7054386]","EMS","C",,,,,,,,,,,"2.326","9","51","35","3","2.580","3","48","37","12"
"Luisa Pineiro Fuentes School of Science and Discovery","X307","3057778","324","9437.5864","General Academic","Elementary","124 EAMES PLACE","BRONX","NY","10468","X","40.86926030000000","-73.90182870000000","[-73.9018287,40.8692603]","EMS","A",,,,,,,,,,,"2.650","5","33","54","8","3.050","2","20","49","29"
"Lyons Community School","K586","4243191","484","8766.9236","General Academic","Secondary School","223 GRAHAM AVENUE","BROOKLYN","NY","11206","K","40.71035300000000","-73.94372299999999","[-73.94372299999999,40.710353]","EMS","C",,,,,,,,,,,"1.808","29","60","10","0","1.676","38","55","6","0"
"M.S. 035 Stephen Decatur","K035","2424425","231","10495.3463","General Academic","Intermediate","272 MACDONOUGH STREET","BROOKLYN","NY","11233","K","40.68195930000000","-73.93537189999999","[-73.93537189999999,40.6819593]","EMS","A",,,,,,,,,,,"2.091","18","54","25","1","2.234","15","51","26","6"
"M.S. 053 Brian Piccolo","Q053","5146380","547","9408.3729","General Academic","Intermediate","10-45 NAMEOKE STREET","QUEENS","NY","11691","Q","40.60401800000000","-73.74990900000000","[-73.749909,40.604018]","EMS","C",,,,,,,,,,,"1.989","17","66","16","0","1.949","25","55","16","2"
"M.S. 061 Dr. Gladstone H. Atwell","K061","8702909","1158","7515.4655","General Academic","Intermediate","400 EMPIRE BOULEVARD","BROOKLYN","NY","11225","K","40.66399440000000","-73.94934769999999","[-73.94934769999999,40.6639944]","EMS","C",,,,,,,,,,,"2.272","12","51","33","3","2.313","13","50","28","8"
"M.S. 113 Ronald Edmonds Learning Center","K113","7236592","934","7747.9572","General Academic","Intermediate","300 ADELPHI STREET","BROOKLYN","NY","11205","K","40.68842370000000","-73.97102850000000","[-73.9710285,40.6884237]","EMS","C",,,,,,,,,,,"2.252","10","55","33","1","2.438","10","46","31","11"
"M.S. 129 Academy for Independent Learning and Leadership","X129","4851824","576","8423.3056","General Academic","Intermediate","2055 MAPES AVENUE","BRONX","NY","10460","X","40.84571600000000","-73.88631269999999","[-73.88631269999999,40.845716]","EMS","B",,,,,,,,,,,"2.191","14","54","29","2","2.316","17","44","26","11"
"M.S. 131","M131","6888326","793","8686.4136","General Academic","Intermediate","100 HESTER STREET","MANHATTAN","NY","10002","M","40.71651000000000","-73.99369970000000","[-73.9936997,40.71651]","EMS","B",,,,,,,,,,,"2.080","23","47","27","2","2.909","4","28","40","27"
"M.S. 137 America's School of Heroes","Q137","11451204","1923","5954.8643","General Academic","Intermediate","109-15 98 STREET","QUEENS","NY","11417","Q","40.67810700000000","-73.83939000000000","[-73.83939,40.678107]","EMS","B",,,,,,,,,,,"2.434","9","43","42","5","2.910","5","30","34","31"
"M.S. 158 Marie Curie","Q158","6770424","1055","6417.4635","General Academic","Intermediate","46-35 OCEANIA STREET","QUEENS","NY","11361","Q","40.75626860000000","-73.77291970000000","[-73.7729197,40.7562686]","EMS","B",,,,,,,,,,,"2.898","3","23","53","19","3.270","2","17","33","48"
"M.S. 180 Dr. Daniel Hale Williams","X180","7730868","691","11187.9421","General Academic","Intermediate","700 BAYCHESTER AVENUE","BRONX","NY","10475","X","40.87372570000000","-73.83379029999999","[-73.83379029999999,40.8737257]","EMS","B",,,,,,,,,,,"2.363","12","43","40","4","2.363","15","42","33","9"
"M.S. 203","X203","4230956","296","14293.7703","General Academic","Intermediate","339 MORRIS AVENUE","BRONX","NY","10451","X","40.81366000000000","-73.92599899999999","[-73.92599899999999,40.81366]","EMS","C",,,,,,,,,,,"1.775","33","54","11","0","1.798","33","54","11","1"
"M.S. 223 The Laboratory School of Finance and Technology","X223","3996132","469","8520.5373","General Academic","Intermediate","360 EAST 145 STREET","BRONX","NY","10454","X","40.81367890000000","-73.92053410000001","[-73.92053410000001,40.8136789]","EMS","A",,,,,,,,,,,"2.183","14","54","28","2","2.867","7","24","42","25"
"M.S. 224 Manhattan East School for Arts & Academics","M224","2068724","259","7987.3514","General Academic","Intermediate","410 EAST 100 STREET","MANHATTAN","NY","10029","M","40.78509200000001","-73.94214699999999","[-73.94214699999999,40.78509200000001]","EMS","C",,,,,,,,,,,"2.750","4","26","61","9","3.010","3","23","42","30"
"M.S. 243 Center School","M243","1610152","210","7667.3905","General Academic","Intermediate","100 WEST 84 STREET","MANHATTAN","NY","10024","M","40.78500130000000","-73.97375160000000","[-73.9737516,40.7850013]","EMS","B",,,,,,,,,,,"3.210","0","9","61","30","3.285","0","10","50","38"
"M.S. 246 Walt Whitman","K246","7557025","594","12722.2643","General Academic","Intermediate","72 VERONICA PLACE","BROOKLYN","NY","11226","K","40.64837450000000","-73.95313240000000","[-73.9531324,40.6483745]","EMS","B",,,,,,,,,,,"1.867","26","59","13","0","2.061","23","51","19","5"
"M.S. 250 West Side Collaborative Middle School","M250","2063129","185","11152.0486","General Academic","Intermediate","735 WEST END AVENUE","MANHATTAN","NY","10025","M","40.79508070000000","-73.97359949999999","[-73.97359949999999,40.7950807]","EMS","A",,,,,,,,,,,"2.350","8","50","41","1","2.484","3","49","43","4"
"M.S. 255 Salk School of Science","M255","2502222","406","6163.1084","General Academic","Intermediate","319 EAST 19 STREET","MANHATTAN","NY","10003","M","40.73559030000000","-73.98136620000000","[-73.9813662,40.7355903]","EMS","B",,,,,,,,,,,"3.204","1","7","61","29","3.262","3","10","44","42"
"M.S. 256 Academic & Athletic Excellence","M256","1961127","185","10600.6865","General Academic","Intermediate","154 WEST 93 STREET","MANHATTAN","NY","10025","M","40.79166970000000","-73.97072620000000","[-73.9707262,40.7916697]","EMS","C",,,,,,,,,,,"1.858","28","57","14","0","1.858","33","51","11","4"
"M.S. 260 Clinton School Writers & Artists","M260","1846825","269","6865.5204","General Academic","Intermediate","425 WEST 33RD STREET","MANHATTAN","NY","10001","M","40.75337000000000","-73.99791710000000","[-73.9979171,40.75337]","EMS","A",,,,,,,,,,,"2.800","5","22","61","12","3.323","3","13","32","51"
"M.S. 267 Math, Science & Technology","K267","3674209","316","11627.2437","General Academic","Intermediate","800 GATES AVENUE","BROOKLYN","NY","11221","K","40.68820940000000","-73.93244680000000","[-73.9324468,40.6882094]","EMS","B",,,,,,,,,,,"2.000","17","64","17","0","2.398","10","48","31","9"
"M.S. 301 Paul L. Dunbar","X301","3500848","326","10738.7975","General Academic","Intermediate","890 CAULDWELL AVENUE","BRONX","NY","10456","X","40.82223050000000","-73.90727210000000","[-73.9072721,40.8222305]","EMS","C",,,,,,,,,,,"1.858","30","53","16","0","1.949","24","59","13","3"
"M.S. 302 Luisa Dessus Cruz","X302","8157925","781","10445.4866","General Academic","Intermediate","681 KELLY STREET","BRONX","NY","10455","X","40.81573730000000","-73.90161690000000","[-73.9016169,40.8157373]","EMS","A",,,,,,,,,,,"2.010","21","57","20","1","2.373","15","43","30","11"
"M.S. 319 - Maria Teresa","M319","4941383","538","9184.7268","General Academic","Intermediate","21 JUMEL PLACE","MANHATTAN","NY","10032","M","40.83944300000000","-73.93593419999999","[-73.93593419999999,40.839443]","EMS","A",,,,,,,,,,,"2.040","18","59","20","1","2.490","8","47","33","12"
"M.S. 324 - Patria Mirabal","M324","4068309","422","9640.5427","General Academic","Intermediate","21 JUMEL PLACE","MANHATTAN","NY","10032","M","40.83944300000000","-73.93593419999999","[-73.93593419999999,40.839443]","EMS","A",,,,,,,,,,,"1.959","23","58","17","1","2.680","9","34","37","20"
"M.S. 326 - Writers Today & Leaders Tomorrow","M326","4190187","372","11263.9435","General Academic","Intermediate","401 WEST 164 STREET","MANHATTAN","NY","10032","M","40.83691190000000","-73.93741210000000","[-73.9374121,40.8369119]","EMS","A",,,,,,,,,,,"1.868","24","64","11","0","2.265","15","50","25","8"
"M.S. 328 - Manhattan Middle School for Scientific Inquiry","M328","4684995","437","10720.8124","General Academic","Intermediate","401 WEST 164 STREET","MANHATTAN","NY","10032","M","40.83691190000000","-73.93741210000000","[-73.9374121,40.8369119]","EMS","B",,,,,,,,,,,"1.810","31","58","10","1","2.181","17","52","25","5"
"M.S. 390","X390","5127634","550","9322.9709","General Academic","Intermediate","1930 ANDREWS AVENUE","BRONX","NY","10453","X","40.85433200000000","-73.91300400000000","[-73.913004,40.854332]","EMS","C",,,,,,,,,,,"1.939","26","54","18","1","2.224","16","51","24","7"
"M.S. 442 Carroll Gardens School for Innovation","K442","2701201","202","13372.2822","General Academic","Intermediate","317 HOYT STREET","BROOKLYN","NY","11231","K","40.68014700000000","-73.99112699999999","[-73.99112699999999,40.680147]","EMS","B",,,,,,,,,,,"2.061","14","65","18","1","2.210","12","59","25","4"
"M.S. 51 William Alexander","K051","6062938","1071","5661.0065","General Academic","Intermediate","350 5 AVENUE","BROOKLYN","NY","11215","K","40.73463530000000","-73.98982070000000","[-73.9898207,40.7346353]","EMS","A",,,,,,,,,,,"3.051","2","13","61","22","3.323","2","12","37","48"
"M.S. 582","K582","2581390","318","8117.5786","General Academic","Intermediate","207 BUSHWICK AVENUE","BROOKLYN","NY","11206","K","40.70875560000000","-73.93982210000000","[-73.9398221,40.7087556]","EMS","B",,,,,,,,,,,"2.234","10","57","29","2","2.460","8","49","32","11"
"M.S. 584","K584","3078937","269","11445.8625","General Academic","Intermediate","130 ROCHESTER AVENUE","BROOKLYN","NY","11213","K","40.67405100000001","-73.92784999999999","[-73.92784999999999,40.67405100000001]","EMS","C",,,,,,,,,,,"1.798","28","63","8","0","1.939","27","54","15","3"
"M.S. K266 - Park Place Community Middle School","K266","1676747","201","8342.0249","General Academic","Intermediate","62 PARK PLACE","BROOKLYN","NY","11217","K","40.67891170000000","-73.97653470000000","[-73.9765347,40.6789117]","EMS","C",,,,,,,,,,,"2.252","6","63","29","1","2.515","6","48","33","12"
"M.S. K394","K394","6076597","715","8498.7371","General Academic","K-8","188 ROCHESTER AVENUE","BROOKLYN","NY","11213","K","40.67270600000000","-73.92892990000000","[-73.9289299,40.672706]","EMS","C",,,,,,,,,,,"2.346","12","45","36","5","2.500","10","42","36","12"
"M.S. M245 The Computer School","M245","2065240","395","5228.4557","General Academic","Intermediate","100 WEST 77 STREET","MANHATTAN","NY","10024","M","40.78065720000000","-73.97647730000000","[-73.9764773,40.7806572]","EMS","B",,,,,,,,,,,"2.673","3","32","57","6","2.838","3","30","46","20"
"M.S. M247 Dual Language Middle School","M247","1798366","192","9366.4896","General Academic","Intermediate","32 WEST 92 STREET","MANHATTAN","NY","10025","M","40.78938420000000","-73.96798799999999","[-73.96798799999999,40.7893842]","EMS","A",,,,,,,,,,,"2.193","11","59","26","2","2.798","2","32","49","16"
"M.S. X101 Edward R. Byrne","X101","2840313","469","6056.1045","General Academic","Intermediate","2750 LAFAYETTE AVENUE","BRONX","NY","10465","X","40.82695820000000","-73.83080380000000","[-73.8308038,40.8269582]","EMS","C",,,,,,,,,,,"2.846","3","20","64","11","3.242","1","18","36","44"
"Magnet School of Math, Science and Design Technology","K010","7550180","725","10414.0414","General Academic","Elementary","511 7 AVENUE","BROOKLYN","NY","11215","K","40.75328560000000","-73.98893220000000","[-73.9889322,40.7532856]","EMS","A",,,,,,,,,,,"2.744","5","32","44","17","2.900","3","28","45","24"
"Manhattan / Hunter Science High School","M541","2824471","437","6463.3204","General Academic","High School","122 AMSTERDAM AVENUE","MANHATTAN","NY","10023","M","40.77482380000000","-73.98470130000000","[-73.9847013,40.7748238]",,,"102","92","87","95","22","23","66","71","7","1",,,,,,,,,,
"Manhattan Bridges High School","M542","4460642","509","8763.5403","General Academic","High School","525 WEST 50TH STREET","MANHATTAN","NY","10019","M","40.76533840000000","-73.99310880000000","[-73.9931088,40.7653384]",,,"107","59","39","67","8","14","31","52","32","9",,,,,,,,,,
"MANHATTAN BUSINESS ACADEMY","M392","1383467","122","11339.8934","General Academic","High School","351 WEST 18 STREET","MANHATTAN","NY","10011","M","40.74324100000000","-74.00301180000000","[-74.0030118,40.743241]",,,,,,,,,,,,,,,,,,,,,,
"Manhattan Center for Science and Mathematics","M435","9958640","1696","5871.8396","General Academic","High School","260 PLEASANT AVENUE","MANHATTAN","NY","10029","M","40.79417200000000","-73.93285200000000","[-73.932852,40.794172]",,,"418","86","79","92","56","64","24","27","9","2",,,,,,,,,,
"Manhattan Comprehensive Night and Day High School","M575","7621567","862","8841.7251","Transfer School","High School","240 2 AVENUE","MANHATTAN","NY","10003","M","40.73282090000000","-73.98457220000000","[-73.9845722,40.7328209]","HST","A","187","52","49","93","17","32","32","61","27","19",,,,,,,,,,
"Manhattan International High School","M459","2698348","309","8732.5178","General Academic","High School","317 EAST 67 STREET","MANHATTAN","NY","10065","M","40.76529500000000","-73.95993299999999","[-73.95993299999999,40.765295]",,,"68","53","50","94","0","0","50","94","32","10",,,,,,,,,,
"Manhattan Theatre Lab High School","M283","2610438","397","6575.4106","General Academic","High School","122 AMSTERDAM AVENUE","MANHATTAN","NY","10023","M","40.77482380000000","-73.98470130000000","[-73.9847013,40.7748238]",,,"48","92","38","41","0","0","38","41","0","2",,,,,,,,,,
"Manhattan Village Academy","M439","2928935","449","6523.2405","General Academic","High School","43 WEST 22 STREET","MANHATTAN","NY","10010","M","40.74194850000000","-73.99230910000000","[-73.9923091,40.7419485]",,,"74","99","91","92","23","23","68","69","1","0",,,,,,,,,,
"Marble Hill High School for International Studies","X477","3237475","445","7275.2247","General Academic","High School","99 TERRACE VIEW AVENUE","BRONX","NY","10463","X","40.87706970000000","-73.91261690000000","[-73.9126169,40.8770697]",,,"95","87","82","94","16","18","66","76","12","1",,,,,,,,,,
"Mark Twain I.S. 239 for the Gifted & Talented","K239","7385742","1280","5770.1109","General Academic","Intermediate","2401 NEPTUNE AVENUE","BROOKLYN","NY","11224","K","40.57845810000000","-73.99239720000000","[-73.9923972,40.5784581]","EMS","A",,,,,,,,,,,"3.131","2","9","62","26","3.740","1","3","17","79"
"Marsh Avenue School for Expeditionary Learning","R063","2602773","290","8975.0793","General Academic","Intermediate","100 ESSEX DRIVE","STATEN ISLAND","NY","10314","R","40.58196900000000","-74.15935999999999","[-74.15935999999999,40.581969]","EMS","B",,,,,,,,,,,"2.545","10","33","48","8","2.969","3","27","39","30"
"Marta Valle High School","M509","4497902","352","12778.1307","General Academic","High School","145 STANTON STREET","MANHATTAN","NY","10002","M","40.72055460000000","-73.98568360000000","[-73.9856836,40.7205546]","EMS","None","88","56","43","78","21","37","23","41","23","16",,,,,,,,,,
"Martin Van Buren High School","Q435","15240341","2809","5425.5397","General Academic","High School","230-17 HILLSIDE AVENUE","QUEENS","NY","11427","Q","40.73387000000000","-73.73971600000000","[-73.739716,40.73387]",,,"678","67","53","78","10","15","42","63","20","7",,,,,,,,,,
"Mathematics, Science Research and Technology Magnet High School","Q492","3751121","471","7964.1635","General Academic","High School","207- 01 116TH AVENUE","QUEENS","NY","11411","Q","40.69879000000000","-73.74632600000000","[-73.746326,40.69879]",,,"105","58","40","69","13","23","27","46","29","11",,,,,,,,,,
"Medgar Evers College Preparatory School","K590","5618334","939","5983.3163","General Academic","Secondary School","1186 CARROLL STREET","BROOKLYN","NY","11225","K","40.66716540000000","-73.95079199999999","[-73.95079199999999,40.6671654]","EMS","B","162","92","90","97","33","36","57","62","7","1","2.887","1","23","60","14","3.450","1","10","32","57"
"Metropolitan Corporate Academy High School","K530","3095937","408","7588.0809","General Academic","High School","362 SCHERMERHORN STREET","BROOKLYN","NY","11217","K","40.68675420000000","-73.98012870000000","[-73.9801287,40.6867542]",,,"84","45","26","58","2","5","24","53","35","13",,,,,,,,,,
"Metropolitan Diploma Plus High School","K647","1843562","191","9652.1571","Transfer School","High School","985 ROCKAWAY AVENUE","BROOKLYN","NY","11212","K","40.65629270000000","-73.90732410000000","[-73.9073241,40.6562927]","HST","C","55","11","9","83","0","0","9","83","84","4",,,,,,,,,,
"Metropolitan High School, The","X248","2862652","327","8754.2875","General Academic","High School","1180 REV. J.A. POLITE AVE.","BRONX","NY","10459","X","40.82771899999999","-73.89700080000000","[-73.8970008,40.82771899999999]",,,"96","73","45","61","4","6","41","56","8","16",,,,,,,,,,
"Middle College High School at LaGuardia Community College","Q520","3632591","457","7948.7768","General Academic","High School","45-35 VAN DAM STREET","QUEENS","NY","11101","Q","40.74330339999999","-73.93362530000000","[-73.9336253,40.74330339999999]",,,"44","71","71","100","0","0","71","100","14","11",,,,,,,,,,
"Middle School 322","M322","4402716","490","8985.1347","General Academic","Intermediate","4600 BROADWAY","MANHATTAN","NY","10040","M","40.86094500000000","-73.93007290000000","[-73.9300729,40.860945]","EMS","B",,,,,,,,,,,"2.051","17","60","20","1","2.262","14","52","26","7"
"Middle School for Academic and Social Excellence","K334","2391734","234","10221.0855","General Academic","Intermediate","1224 PARK PLACE","BROOKLYN","NY","11213","K","40.67269190000000","-73.93687140000000","[-73.9368714,40.6726919]","EMS","B",,,,,,,,,,,"1.795","32","55","10","1","1.887","28","54","15","1"
